anio,trimestre,periodo_trimestral,credito_sector_privado,pbi_desestacionalizado,inflacion_ipc,tipo_cambio,creditos_sbs_millones,credito_privado_pct_pbi_bcrp
2014,3,2014T3,242961.97490028,146.370470144995,2.9182116246694867,2.8219524531024534,184969.703224,40.3336123405463
2014,4,2014T4,252936.3265098,147.48235159949866,3.157067969334417,2.93158572871573,192503.102971,40.7049664365217
2015,1,2015T1,261317.44,148.67374158730135,2.954015909225563,3.0594854545454537,202479.533308,40.6426842797996
2015,2,2015T2,271083.57,150.24857991707566,3.309508281626833,3.1445886507936502,210578.745821,40.8058277439588
2015,3,2015T3,280692.03,150.96387826640432,3.8367177349931265,3.2133511038961036,219586.832119,41.5361346965153
2015,4,2015T4,290854.05,154.026965011735,4.076900081049003,3.323832063492063,226054.50803,41.1538728780317
2016,1,2016T1,291749.63,155.370367350326,4.461175123876323,3.450845238095237,226939.054622,40.7723575125738
2016,2,2016T2,293270.22,155.00131262915465,3.5964832150399832,3.31729393939394,228258.93786400004,40.5317264936982
2016,3,2016T3,300688.44,158.001491032047,3.0103870033410196,3.3385866826156296,232956.930623,40.1512787255824
2016,4,2016T4,304296.35,158.58566506628634,3.3299340534368636,3.3949774436090236,234809.180691,40.0743266106717
2017,1,2017T1,301308.89997075,158.8863890469893,3.4403372854354166,3.28781011198946,232005.08886,39.5780414377021
2017,2,2017T2,305321.7812695,160.13476785009502,3.155654058403787,3.2630647306397336,232645.722268,39.4334224558253
2017,3,2017T3,315059.84913422,162.40845822682002,2.990291490650627,3.2458188615478103,237123.670249,39.5597887191688
2017,4,2017T4,321094.05625408,162.30584112203698,1.6497790795120333,3.24619531024531,243885.211834,40.0960982620696
2018,1,2018T1,323322.25347938,164.90982365271134,0.9319618823759379,3.2386581746031737,247030.353821,39.7086498718975
2018,2,2018T2,331565.81901987,168.4425574165373,0.948298811123219,3.25871303030303,255110.336384,40.2377651412108
2018,3,2018T3,339001.0111462,166.185246007875,1.3223191410873367,3.292584285714286,260409.008337,40.6791591997596
2018,4,2018T4,349892.62483718,169.33019813401233,2.066838154062397,3.3582674641148333,269846.829111,41.2884781841628
2019,1,2019T1,353040.65,168.54286181610834,2.1266611013322767,3.32324422799423,268762.38206,41.2481565685005
2019,2,2019T2,359583.99,171.17002037397097,2.53751760498032,3.32079484848485,273046.631292,41.7432888039057
2019,3,2019T3,369200.45,171.64971157046065,2.0008812037157697,3.3421017460317466,279391.99496900005,41.7867083816243
2019,4,2019T4,374462.85,172.535814096177,1.8824835971476535,3.362509761904763,285273.843813,40.9084494409276
2020,1,2020T1,385570.6,162.054804299201,1.87130892762276,3.4038993939393962,294403.1674070001,43.1115158857341
2020,2,2020T2,409902.09,120.108792867389,1.70171396683099,3.43045507936508,319566.14626000007,49.5221387497664
2020,3,2020T3,421220.25,156.54144766329767,1.7895492910635669,3.5458825396825397,325284.172392,51.4251839625505
2020,4,2020T4,422199.029553614,169.75323013256266,1.94648076163402,3.6026994227994233,325086.492926,50.6981672773223
2021,1,2021T1,424369.773062804,169.66139799514835,2.5583576096570635,3.659939420289857,324509.652707,48.9535291509825
2021,2,2021T2,435488.733318251,170.81483448671432,2.6952544734305133,3.7952956349206333,337924.130307,45.8037508151189
2021,3,2021T3,443523.403874519,174.91374233729036,4.665659405290847,4.04592064213564,344326.476794,43.9072108146074
2021,4,2021T4,446195.311141001,175.52047504929797,5.970514978835534,4.023681139971139,348504.7669219999,43.4464016583334
2022,1,2022T1,445510.911227158,176.32198516680668,6.21868327446029,3.80596986542443,347412.411612,43.4752744602753
2022,2,2022T2,455781.836629894,176.86366777417666,8.289474882808685,3.748906877041083,357338.401065,43.4688355442819
2022,3,2022T3,460576.95365874,178.212529486923,8.556225251637104,3.8919850079744798,360089.0915389999,43.0355080146788
2022,4,2022T4,457212.014642692,178.983572077561,8.39386214323695,3.89496626984127,355108.757585,42.4079049923982
2023,1,2023T1,454780.724556626,176.23876330383766,8.570254856852614,3.8181418771566604,351798.203372,41.8356577250558
2023,2,2023T2,452593.949377221,176.427640707112,7.4401428235775535,3.7015124098124104,348358.31609,41.1296972060206
2023,3,2023T3,459912.677228209,177.01879667295734,5.500764869047823,3.6766728066378067,351560.268678,40.6238113374854
2023,4,2023T4,459271.350226052,178.39822246471263,3.7389796696170468,3.780165478089163,349790.601114,40.1991075384064
2024,1,2024T1,454494.167632086,179.27939068288902,3.1210115448431464,3.7592234753550566,344803.73837700003,39.2543855769229
2024,2,2024T2,461674.34262391,182.128528667649,2.2374655981676135,3.7444881180223297,353534.501837,38.9101768685412
2024,3,2024T3,456910.221433455,184.21613270741366,1.9789237753260334,3.7583156349206335,347758.729233,37.5247158813104
2024,4,2024T4,461274.26499109,186.27153740614003,2.0824912775871334,3.7563451594896335,350462.489568,36.8559484493693
2025,1,2025T1,458124.105030612,186.59281385987967,1.5353640543780702,3.6987528138528134,353296.081003,36.2025486819508
2025,2,2025T2,463634.609976231,187.99248327787333,1.6774019851206265,3.65404650793651,362207.67754,36.2966858312834
2025,3,2025T3,470208.838774482,190.95148665044835,1.3845083883961833,3.5337115151515164,365840.878245,36.0749540772788
2025,4,2025T4,479089.326795198,192.398666155553,1.4097290218589833,3.3842401435406697,369819.1733260001,35.8788687605334
