periodo,credito_sector_privado,tipo_cambio,inflacion_ipc,pbi_real
Jun.2010,129247.02656823,2.83802,1.64340671777881,121.016451371327
Jul.2010,131681.67741488,2.82301578947368,1.82325129296416,119.833063860523
Ago.2010,131301.8252928,2.80184761904762,2.30885508267747,120.236261309806
Sep.2010,131487.02107419,2.79059090909091,2.36535673314101,122.041985141625
Oct.2010,133094.1891632,2.79163,2.0950876960611,122.970312003998
Nov.2010,136324.56129984,2.80581904761905,2.21771157289207,123.231676736611
Dic.2010,138872.91252165,2.815455,2.07644423190308,122.028484466777
Ene.2011,140589.21448914,2.78667142857143,2.17264229393742,124.493209014376
Feb.2011,142075.18980403,2.77041,2.23355858855512,124.455705720215
Mar.2011,146660.8696916,2.77950869565217,2.66342558533546,125.546888198792
Abr.2011,150299.61079506,2.81584210526316,3.33627077586349,127.139478536761
May.2011,153638.15464345,2.77439047619048,3.06661988654443,125.646771654151
Jun.2011,155060.683877,2.76382380952381,2.91065322504482,125.014390601825
Jul.2011,157123.9245826,2.74140526315789,3.35053580984407,127.592427623666
Ago.2011,158710.31575643,2.73951904761905,3.34775576236666,127.581692990738
Sep.2011,160175.39405399,2.74415,3.72632873848609,127.987491099409
Oct.2011,161259.00356345,2.73113,4.20058635305765,128.017422006078
Nov.2011,163448.9970518,2.70510476190476,4.64185930799761,129.133455224779
Dic.2011,166491.2947125,2.69617894736842,4.73842084248362,132.606320528935
Ene.2012,168478.50528848,2.6925,4.22536434603765,130.800040238765
Feb.2012,169480.49920556,2.68327142857143,4.16575394297844,130.806109695367
Mar.2012,171788.78115255,2.67087272727273,4.23148743233747,133.194077246808
Abr.2012,172735.33267432,2.65662222222222,4.07684685836829,131.283680272894
May.2012,177241.72270187,2.66973636363636,4.14239616822717,134.733309625153
Jun.2012,179819.13209074,2.67096,4.00107094984338,135.183577772318
Jul.2012,181123.09689461,2.63498571428571,3.27611476932365,135.719791317355
Ago.2012,182418.70565092,2.61587619047619,3.52598073623202,136.461298836738
Sep.2012,184644.6323498,2.60267,3.74113621145945,137.375666612532
Oct.2012,185785.8750328,2.58766,3.24663026597157,136.934161246795
Nov.2012,187418.11727806,2.598605,2.66179188790001,136.929107520625
Dic.2012,189786.4767449,2.56656111111111,2.64936888071586,137.212652262184
Ene.2013,190095.36363034,2.55217272727273,2.87207608956733,139.220843976578
Feb.2013,191252.52387351,2.57834736842105,2.44956221835028,139.692313609953
Mar.2013,193004.49590187,2.59417368421053,2.59182460056487,140.50289174793
Abr.2013,196270.61000216,2.59806818181818,2.3069499256289,140.16300659789
May.2013,198978.23225819,2.64571818181818,2.46477298011905,140.945792615766
Jun.2013,204373.81705398,2.74848421052632,2.77073543850851,143.524738092231
